text,source,rating,user_segment,author,created_at
Pricing went up without warning — felt sneaky.,nps,,power_user,Jordan C.,2026-03-29T23:15:19.847039+00:00
Love the AI recipe feature when it nails it — but it hallucinates ingredients I don't have.,interview,,power_user,Alex C.,2026-04-26T08:15:19.847039+00:00
"Please add dark mode, my eyes hurt at night cooking.",play_store,3,enterprise,Sam S.,2026-01-31T01:15:19.847039+00:00
Skipped most of the onboarding and now the app keeps prompting me to finish it.,play_store,2,free_tier,Noor H.,2026-02-22T08:15:19.847039+00:00
Lost my shopping list when I switched phones. No way to recover.,play_store,1,smb,Chen P.,2026-05-13T05:15:19.847039+00:00
"Asked for a vegan dinner with chickpeas, got a recipe with chicken.",app_store,1,enterprise,Sam H.,2026-04-04T03:15:19.847039+00:00
Charged twice for the same month — Happens every time.,play_store,2,smb,Jordan C.,2026-05-02T18:15:19.847039+00:00
Love the AI recipe feature when it nails it — but it hallucinates ingredients I don't have.,app_store,3,new_user,Sam H.,2026-03-03T09:15:19.847039+00:00
"The subscribe button just spins forever. Tried on iOS and web, same thing.",nps,2,power_user,Riley A.,2026-01-31T01:15:19.847039+00:00
Pricing went up without warning — felt sneaky.,nps,2,enterprise,Jordan B.,2026-05-06T20:15:19.847039+00:00
Search is way too slow on Android — takes 5+ seconds.,app_store,3,free_tier,Noor S.,2026-05-19T01:15:19.847039+00:00
App is beautiful and easy to use. 5 stars.,play_store,5,power_user,Sam V.,2026-03-22T00:15:19.847039+00:00
Card was charged but Pro features didn't unlock for 48 hours. Support never replied.,app_store,1,new_user,Yuki C.,2026-03-12T07:15:19.847039+00:00
Love the AI recipe feature when it nails it — but it hallucinates ingredients I don't have.,interview,,enterprise,Jordan X.,2026-03-20T16:15:19.847039+00:00
Meal plan I built on the web is missing from the mobile app.,zendesk,,enterprise,Noor L.,2026-04-05T22:15:19.847039+00:00
The AI recipe suggestions are genuinely brilliant. Saved me so much time this week.,app_store,5,new_user,Sam T.,2026-03-07T08:15:19.847039+00:00
Onboarding is slow and asks for too much info before I can even try the app.,play_store,2,power_user,Chen K.,2026-02-03T00:15:19.847039+00:00
Charged twice for the same month —,zendesk,,free_tier,Alex X.,2026-03-08T06:15:19.847039+00:00
Love how it adapts to my pantry. Real game changer.,app_store,5,new_user,Diego E.,2026-04-22T23:15:19.847039+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,play_store,3,enterprise,Diego R.,2026-04-29T05:15:19.847039+00:00
Took me 10 minutes to get past the dietary preferences screen. Way too many questions.,nps,,enterprise,Priya W.,2026-05-21T02:15:19.847039+00:00
Free tier is so limited it's basically useless. Either make it free or be clear it's paid.,nps,,new_user,Sam C.,2026-04-01T09:15:19.847039+00:00
Free tier is so limited it's basically useless. Either make it free or be clear it's paid.,interview,,free_tier,Diego E.,2026-05-21T15:15:19.847039+00:00
"Asked for a vegan dinner with chickpeas, got a recipe with chicken. Contacted support, no reply yet.",zendesk,,enterprise,Jordan X.,2026-01-31T01:15:19.847039+00:00
Took me 20 minutes to get past the dietary preferences screen. Way too many questions.,interview,,free_tier,Priya H.,2026-02-01T13:15:19.847039+00:00
Best meal planning app I've used. Recommended to my whole family.,nps,5,power_user,Maya F.,2026-02-14T13:15:19.847039+00:00
Saved recipes on iPhone don't sync to my iPad. Happens every time.,app_store,2,smb,Chen K.,2026-04-27T20:15:19.847039+00:00
Best meal planning app I've used. Recommended to my whole family.,play_store,4,smb,Chen J.,2026-03-02T20:15:19.847039+00:00
Love how it adapts to my pantry. Real game changer.,zendesk,,smb,Diego L.,2026-03-04T10:15:19.847039+00:00
